item_id,height,weight,size,gender
1551840,177cm,85kg,Free 구매,남성
1551840,164cm,50kg,L 구매,여성
1551840,159cm,50kg,S 구매,여성
1551840,183cm,68kg,L 구매,남성
1551840,177cm,77kg,M 구매,남성
1551840,162cm,54kg,M 구매,여성
1551840,173cm,70kg,M 구매,남성
1551840,158cm,58kg,M 구매,여성
1551840,182cm,76kg,L 구매,남성
1551840,165cm,65kg,S 구매,여성
1551840,178cm,55kg,S 구매,남성
1551840,165cm,50kg,S 구매,여성
1551840,171cm,54kg,S 구매,남성
1551840,183cm,89kg,L 구매,남성
1551840,165cm,48kg,S 구매,여성
1551840,170cm,70kg,M 구매,남성
1551840,165cm,52kg,S 구매,여성
1551840,169cm,64kg,S 구매,남성
1551840,178cm,81kg,L 구매,남성
1551840,169cm,49kg,S 구매,여성
1551840,163cm,150kg,M 구매,여성
1551840,171cm,65kg,M 구매,남성
1551840,180cm,73kg,L 구매,남성
1551840,161cm,49kg,S 구매,여성
1551840,170cm,55kg,S 구매,남성
1551840,159cm,100kg,M 구매,여성
1551840,159cm,50kg,S 구매,여성
1551840,180cm,85kg,L 구매,남성
1551840,168cm,65kg,S 구매,여성
1551840,161cm,53kg,S 구매,여성
1551840,181cm,63kg,L / 여름용 구매,남성
1551840,157cm,47kg,S 구매,여성
1551840,185cm,98kg,Free 구매,남성
1551840,166cm,69kg,M 구매,여성
1551840,165cm,80kg,L 구매,남성
1551840,175cm,90kg,L 구매,남성
1551840,152cm,45kg,S 구매,여성
1551840,163cm,56kg,S 구매,여성
1551840,170cm,65kg,Free / 여름용 구매,여성
1551840,178cm,82kg,S 구매,남성
1551840,170cm,65kg,M 구매,여성
1551840,183cm,60kg,L 구매,남성
1551840,160cm,53kg,S 구매,여성
1551840,175cm,72kg,Free 구매,남성
1551840,155cm,65kg,M 구매,여성
1551840,166cm,51kg,S 구매,여성
1551840,165cm,53kg,S 구매,여성
1551840,178cm,70kg,L 구매,남성
1551840,177cm,66kg,M 구매,남성
1551840,184cm,77kg,Free 구매,남성
1551840,182cm,75kg,L 구매,남성
1551840,163cm,55kg,S 구매,여성
1551840,153cm,42kg,XS 구매,여성
1551840,156cm,46kg,S 구매,여성
1551840,171cm,64kg,S 구매,남성
1551840,189cm,90kg,Free 구매,남성
1551840,175cm,67kg,M 구매,남성
1551840,168cm,58kg,M 구매,여성
1551840,180cm,70kg,Free 구매,남성
1551840,169cm,64kg,M 구매,남성
1551840,150cm,50kg,S 구매,여성
1551840,162cm,52kg,S 구매,여성
1551840,178cm,85kg,L 구매,남성
1551840,169cm,46kg,M 구매,여성
1551840,176cm,60kg,M 구매,남성
1551840,173cm,68kg,M 구매,남성
1551840,176cm,52kg,M 구매,남성
1551840,167cm,53kg,M 구매,여성
1551840,165cm,53kg,S 구매,남성
1551840,164cm,51kg,S 구매,여성
1551840,184cm,75kg,L 구매,남성
1551840,179cm,68kg,M 구매,남성
1551840,164cm,55kg,M 구매,여성
1551840,153cm,40kg,XS 구매,여성
1551840,172cm,52kg,S 구매,남성
1551840,186cm,78kg,Free 구매,남성
1551840,175cm,74kg,M 구매,남성
1551840,165cm,63kg,M 구매,남성
1551840,172cm,73kg,M 구매,남성
1551840,173cm,60kg,M 구매,남성
1551840,179cm,84kg,L 구매,남성
1551840,160cm,48kg,S 구매,여성
1551840,161cm,49kg,S 구매,여성
1551840,168cm,60kg,M 구매,여성
1551840,173cm,78kg,L 구매,남성
1551840,173cm,69kg,M 구매,남성
1551840,168cm,63kg,M 구매,남성
1551840,183cm,75kg,Free 구매,남성
1551840,158cm,50kg,S 구매,여성
1551840,160cm,55kg,S 구매,여성
1551840,186cm,88kg,L 구매,남성
1551840,167cm,59kg,M 구매,여성
1551840,182cm,64kg,L 구매,남성
1551840,170cm,62kg,S 구매,남성
1551840,171cm,53kg,S 구매,남성
1551840,176cm,70kg,L 구매,남성
1551840,174cm,56kg,L 구매,남성
1551840,158cm,56kg,S 구매,여성
1551840,180cm,73kg,L 구매,남성
1551840,172cm,73kg,L 구매,남성
1551840,167cm,59kg,S 구매,여성
1551840,158cm,52kg,S 구매,여성
1551840,165cm,59kg,S 구매,여성
1551840,158cm,45kg,XS 구매,여성
1551840,158cm,48kg,S / 여름용 구매,여성
1551840,172cm,58kg,Free 구매,여성
1551840,177cm,60kg,M 구매,남성
1551840,170cm,54kg,S / 기모 구매,여성
1551840,178cm,80kg,L 구매,남성
1551840,154cm,56kg,S 구매,여성
1551840,164cm,47kg,S 구매,여성
1551840,179cm,82kg,L 구매,남성
1551840,175cm,63kg,S 구매,남성
1551840,160cm,73kg,M 구매,여성
1551840,163cm,47kg,S 구매,여성
1551840,162cm,58kg,M 구매,여성
1551840,170cm,30kg,L 구매,여성
1551840,184cm,82kg,L 구매,남성
1551840,158cm,45kg,XS 구매,여성
1551840,179cm,72kg,L 구매,남성
1551840,165cm,48kg,S 구매,남성
