URL,리뷰 내용
https://www.musinsa.com/review/goods/1620237,잘 늘어난다고 해서 일부러 딱 맞는 사이즈로 구매했어요~ 이쁘긴 참 이뻐 비싸서 그렇지
https://www.musinsa.com/review/goods/1620237,사람들이 많이 구매하고 추천하는데에는 이유가 있네요 아주 만족스럽습니다
https://www.musinsa.com/review/goods/1620237,"이쁘고 잘 맞네요, 꽈베기 니트 실물은은하고 코디 범용성 좋을 것 같아요"
https://www.musinsa.com/review/goods/1620237,"원단 자체가 흐물거리고 무거워서 옷이 밑으로 축쳐집니다. 시보리는 거의 없다싶이 늘어나있고, 목은 과장 좀 보태서 어깨까지 늘어나는 정도에요,, 진짜 가격대비 최악의 퀄리티.."
https://www.musinsa.com/review/goods/1620237,"목이축늘어져서
별루입니다
이게무슨일인거죠?"
https://www.musinsa.com/review/goods/1620237,"앞으로 무신사 못믿겠습니다.
통화하려면 40분이상 연결대기에 1:1문의 답변도 2-3일 이나 걸리고 재고관리를 어떻게 하는지 패키징도 최악인데다 보시는 것처럼 봉투가 먼지 투성이에 밟힌자국들?로 
 가득하네요.
앞으로 세일하거나 급한일 아니면 여기서 안사렵니다."
https://www.musinsa.com/review/goods/1620237,"최악입니다. 
랄프로렌 제품을 아울렛과 백화점에서 구매해본 경험이 있어서 그런지 무신사에서 사느니 차라리 값이라도 싼 인별에서 사는게 훨씬 나아보이네요.
패키징부터 시작해서 옷 검수까지 3만원짜리 니트를 사도 이렇게 받진 않을 것 같습니다."
https://www.musinsa.com/review/goods/1620237,"1.가품을 받아도 이 정도 패키징은 아닐 것 같다는 생각이 드네요.
2.옷을 입기 전에 자체검수를해서 털뭉치들을 거의 다 제거 했는데 이너가 털 범벅으로 바꼈습니다.
3.봄에 산 제품보다 제조일이 느립니다."
https://www.musinsa.com/review/goods/1620237,"구매한지 약 3주 지났고, 몇번 실착 후 후기 남깁니다
우선 처음에 입었을땐 저 가격의 느낌은 안났어도 폴로라는 브랜드랑 사이즈도 너무 괜찮아 만족했는데 한번 실착 (절대 이상하게 안입고 조심하게 2시간정도만 입음) 하고 옷걸이에 걸어두고 약 일주일 지나서 다시 입으려니까 목이 정말 말도안되게 늘어나있고 기장도 늘어나있네요. 기장은 그렇다 쳐도 목이 안에 흰티를 입어도 흰티의 목 라인이 다보이고도 남을 정도로 목이 늘어나있어 거의 못입을정도입니다. 재질이 잘 늘어나보인 했지만 이정도일줄은 몰랐네요"
https://www.musinsa.com/review/goods/1620237,우선… 옷이 너무 늘어지고 탄련도 없고 쪼임도 없고 별로예요;; 사이즈도 겁나 커서 중고로 팔려고영
https://www.musinsa.com/review/goods/1620237,세일할때 샀는데 늘어나는게 뭔 느낌인지 알겠네요 ㅜ 목도 많이 늘어나고 ..
