리뷰 내용,상품 URL
워낙에 편하고 무난해서 어디에도 잘 입을거 같아요,https://www.musinsa.com/review/goods/2086653
긴 기장 먼저 사고 마음에 들어서 일반 기장 샀는데 전 일반 기장이 더 좋아요 예뻐 (ღ•͈ᴗ•͈ღ),https://www.musinsa.com/review/goods/2086653
"중2 아들이 원해서 구매했어요
두께 적당하고 후드티 안에 레이어룩으로 입을려고 구매했어요
사진은 제가(엄마)입고 찍은겁니다
아들이 사진찍기 싫다해서요",https://www.musinsa.com/review/goods/2086653
이너로 입기 너무 좋고 여름이 벌써부터 기대됩니다~ 레이어드로 짱!,https://www.musinsa.com/review/goods/2086653
"후기 한 번 에 쓰려고 이렇게 입었네요
소재감 좋고 깔끔해요",https://www.musinsa.com/review/goods/2086653
여러곳에 기본템으로 잘 맞아요 길이도 적당하고 좋습니다,https://www.musinsa.com/review/goods/2086653
"제 체형의 리뷰는 많이 없어 끄적끄적..
바스트랑 골반 있는 여성분들은 이게 남성옷이라 그런지 조금 품이 작아서 낑길수는 있움 하지만 이너&레이어드 용이기 때문에 상관은 업움

S는 무난한 맨투맨 후드티랑 잘 어우러짐-164 엉덩이 덮음
M은 사지는 않았지만 엄청큰 후드 아닌이상 레이어드 티로는 적절하지는 않아보임. 레이어드는 2-3센치정도 보이는게 예쁜데 너무 길어서 부조화스러울거라 예상",https://www.musinsa.com/review/goods/2086653
"51세 아자씨 입니다.
레이어드 하기에 
속에 받쳐 입기에도 좋습니다.
단독 착용도 괜찮을듯 하고
면의 촉감이 부드러워 
상당히 만족합니다",https://www.musinsa.com/review/goods/2086653
기장 레이어드하기 딱 좋아요 170초반 남성분들 s해도 레이어드 넉넉히 되니까 참고하세요,https://www.musinsa.com/review/goods/2086653
"레이어드 하기 좋은 기장
목이 탄탄해서 잘 늘어나지 않을 것 같아요",https://www.musinsa.com/review/goods/2086653
레이어드할 길이감도 딱좋고 밑단 트임도 좋아요! 만족합니다:),https://www.musinsa.com/review/goods/2086653
"177/ 75 입니다
맨투맨이나 니트에 레이어드 하실거면 m
가디건이나 바람막이 아우트에 레이어드 하실거면 L 사세요",https://www.musinsa.com/review/goods/2086653
"기대안했는데 기대이상으로 이쁩니당
레이어드해서입어도 좋네욤 그냥원피스처럼입어두되구요ㅎㅎ",https://www.musinsa.com/review/goods/2086653
총장 68짜리 맨투맨에 딱 예쁘게 레이어드 됩니다~ 필수템!,https://www.musinsa.com/review/goods/2086653
"그냥 무난하다는 말이 가장 적절한듯합니다
레이어드용으로는 최고. 빼서 길게 받쳐입어도 좋고 안에 가벼운 이너로 입기도 좋네요",https://www.musinsa.com/review/goods/2086653
긴팔도 하나 사야겠음 넘나리 좋아 통도 적당히 오버핏이라 이쁨,https://www.musinsa.com/review/goods/2086653
레이어드티라 그런지 이너로 입기 정말 좋습니다 추천!,https://www.musinsa.com/review/goods/2086653
다 좋은데 길이가 길어서 넘 아쉬워요 맨투맨에 입었더니 한뼘이 남음,https://www.musinsa.com/review/goods/2086653
정말 자주 애용하는 반팔티에요 :) 누구나 다 잘어울릴 핏이고 진짜 무엇보다 핏이 이뻐요 ㅎㅎ,https://www.musinsa.com/review/goods/2086653
"얼른얼른 날씨가 더 추워져서 맨날맨날 입고싶따!
길이도 적당하고, 짱짱해서 넘넘 조아여~(˘▾˘~)(~˘▾˘)~",https://www.musinsa.com/review/goods/2086653
"뉴발란스 티 핏이 마음에 들어서 비슷한 티를 사려고 실측 사이즈 오래오래 비교해가면서 무탠다드 2종 구매했습니다 도움되시길 바라요!
릴렉스핏 크루넥(검정): 뉴발티보다 조금 더 길긴 하지만 품이 크고 전반적으로 핏이 비슷하고 편합니다(만족) 화이트도 살 거예요
레이어드 크루넥(흰색): 길이만 너무 길고 품은 안 커서 애매하게 골반, 엉덩이에 붙어서 뚱뚱해보여요. 저처럼 키 작은 분들은 진짜 레이어드용으로만 입을 수 있을 듯합니다(만족×) 그래도 스킨톤 속옷은 안 비쳐서 좋아요",https://www.musinsa.com/review/goods/2086653
리뉴얼 되기 전 버전으로 구매했었는데 이번에 짧은기장으로 나왔다해서 바로 삿습니다 ㅎㅎ 이제 맨투맨 접어 입을수 있겟네용,https://www.musinsa.com/review/goods/2086653
안에 레이어드 입은거에용 길이 잘 맞고 좋으네여,https://www.musinsa.com/review/goods/2086653
"레이어드해서 입기 좋아요!!! 
좌 188/96 2xl
우 172/55 s 사이즈입니다 
길이 참고하세요 :)",https://www.musinsa.com/review/goods/2086653
원단 좋고 잘 안구겨지고 어디에나 받쳐입기 아주 좋습니다!,https://www.musinsa.com/review/goods/2086653
맨날맨날 입는거같아요 라잌마이피부? 근데 목이 너무 잘늘어나요.. 사진엔 레이어드해서 입었어요 !,https://www.musinsa.com/review/goods/2086653
제 키에 맞는 레이어드 티 딱 찾은거 같아요 넘 만족합니다 기본템으로도 이뻐요 여러개 쟁겨두기 조하요,https://www.musinsa.com/review/goods/2086653
재입고 시 재구매 의사있습니다 무신사 스탠다드 무섭네요,https://www.musinsa.com/review/goods/2086653
몸집이 있는 편이라 티로만 입기엔 어정쩡한 느낌이 있지만 레이어드해서 막입기 훌륭합니다^^,https://www.musinsa.com/review/goods/2086653
이쁩니다 맨날 레이어드 해 입을 것 같애요 왜 지금 샀지 귀요미됨,https://www.musinsa.com/review/goods/2086653
레이어드 길이 딱 좋고요 키가 작아서 그런데 레이어드 티가 조금 길어서 다시 구매했는데 만족해요,https://www.musinsa.com/review/goods/2086653
"상품평보니까 기장이나 사이즈가 크다고해서 원래사려던것보다 작은 사이즈로 샀더니 딱 제가 원하는 기장이네요! 키 167인데 엉덩이 다 가리는 기장이고 몸통부분은 크지않고 딱 맞아요!
그리고 트임이있어서 더 이쁜거같아요ㅎㅎ
여자분이라면 일단 s부터 시작하는게 좋을것 같습니다! 저보다 키 작으신분은 xs추천드려요",https://www.musinsa.com/review/goods/2086653
"오버핏 티셔츠로 레이어드 하다가 이염으로 큰코한번 다쳐서 레이어드용 티셔츠 구매해봤습니다. 기장감은 일반 맨투맨, 후드랑 아주 찰떡이고 평소 입으시는 반팔티 사이즈랑 같게 구매하시면 될 것 같습니다.",https://www.musinsa.com/review/goods/2086653
옷이 좋아요 배송 괜찮아요 자주 입어요 손이 가요 안에 레이어드용으로 좋음,https://www.musinsa.com/review/goods/2086653
다 그렇겠지만 조금 잘 구겨지는거 빼곤 좋습니다,https://www.musinsa.com/review/goods/2086653
목아지 안 늘어나고 짱짱함 좋아서 하나 더 샀습니다,https://www.musinsa.com/review/goods/2086653
옷이 잘늘어져서 그냥 잠옷으로 입고있어요 ㅠㅋ 슬픔,https://www.musinsa.com/review/goods/2086653
"기장 줄어들까봐 세탁망 넣어서 세탁기 돌렸고 
무조건 냉수세탁에 탈수제일 약하게, 건조기x 
건조대에 뉘어서 자연건조함
심지어 세탁도 두번인가 세번밖에 안 했는데
78기장이 73되버렸네요
줄어들거 생각해서 더 긴거 사야될듯..",https://www.musinsa.com/review/goods/2086653
구김이 꽤 있었지만 그래도 맨날 입고 있습니다요,https://www.musinsa.com/review/goods/2086653
